name,gender
Esteban Alfaro Calderón,M
Juan Carlos Sainz Borgo,M
Gian Carlo Sandoval Mazzero,M
Luis D Nunez,M
Juan José Romero,M
Luis F. Arias Acuña,M
Rolando Esquivel Mata,M
Víctor Valembois,M
Ronald G. Hernández Campos,M
Yeikol Alberto Zúñiga Vargas,M
Jesús Bonilla Freer,M
William Rodríguez López,M
Robinson Rodríguez Herrera,M
Peter G. Kirchschläger,M
Jorge Dengo Rosabal,M
Ricardo Hausmann,M
Álvaro Rodríguez Echeverría,M
Francisco Salas Chaves,M
Indermit Gill,M
Rafael A. Rodríguez Salazar,M
Sergio Mora Castro,M
Ronald Castro Chaverri,M
Diego Hidalgo Leiva,M
Mauricio A. Rodríguez Hernández,M
Yanni  Sterloff,M
Andrés Alberto Retana Vargas,M
Juan Luis Zúñiga,M
Fernando Castillo Víquez,M
Fernán Orlich Rojas,M
Luis Rosero Bixby,M
Alberto Rojas Rojas,M
Fabián Marrero Soto,M
Jorge G. Castañeda,M
Arturo Carballo Madrigal ,M
Luis Morice,M
Nogui Acosta Jaén,M
Rodrigo Bernardo Ortega ,M
Omar J. Ureña Soto,M
Jorge Eduardo Sánchez Sibaja,M
Rodney Salazar,M
Otto Silezky Agüero,M
Amin Majchel,M
Jorge Blanco Roldán,M
Carlos Tiffer,M
Josué Aguirre Thomas,M
Fernando Morales Martínez,M
Ricardo Millán González,M
"Alejandro Solís, ingeniero forestal",M
Paul De Grauwe,M
Antonio Trejos Mazariegos,M
Miguel Gutiérrez,M
Christian Rivera,M
Alejandro Badilla,M
Marco Pérez Molina,M
Pablo García Monge,M
Gerardo Antonio Quirós Venegas,M
Augusto Manzanal Ciancaglini,M
Alejandro Ross Muñoz,M
Fernando Gutiérrez,M
José Pablo Rodríguez,M
Luis Gamboa A.,M
Ronald Castro Fernández,M
Christopher Stephenson Peñaranda,M
Mario Uriel Santos Castillo ,M
Leonardo Garnier,M
Franco Mainieri Murillo,M
ML/MSc. Dimitri Shiltagh Prada,M
Alejandro Machado García,M
Dr. Eric Briones Briones,M
Tonatiuh Solano Herrera,M
Emilio Zevallos Vallejos,M
Óscar Mario Jiménez Alvarado,M
Guido Mora,M
Oscar Valverde Cerros,M
Luis Felipe Arauz,M
Felipe Guevara Leandro,M
Antonio Ortega Gutiérrez,M
Juan Carlos Sebiani Serrano,M
Jimmy Bolaños González,M
Pedro J. Solís,M
Nouriel Roubini,M
Andrés J. Chaves Huertas,M
Mauricio Bolaños Barrantes,M
Adrián Mora,M
Rodolfo Fuentes,M
Manuel Sandoval,M
Guillermo A. Brenes Tencio,M
Dr. Francisco Guevara Quiel,M
Roberto Leiva,M
"Mauricio Álvarez Mora,",M
"Dr. Oscar Mena Redondo, CATEDRÁTICO UCR-UNED y M.Sc.José Alfredo Calderón, Geógrafo y 10 profesionales más",M
Guillermo Álvarez Martínez,M
Gerardo Rojas Segura,M
Isaac Montero Solera,M
Walter Montes,M
Óscar Arias Moreira,M
Esteban Marín,M
Wady Cerdas Tenorio,M
Andrés Gutiérrez Montoya,M
Paul Fervoy,M
Jose Pablo Porras Monge,M
Osvaldo Durán-Castro,M
Lhiam Vega Umaña,M
Rafael A. Ugalde Q.,M
Jaime Robert,M
John Mario González,M
Mark Lewis,M
Víctor Fung,M
José Luis Vargas Chacón,M
Juan Carlos Durán Castro,M
Richard Haass,M
Marco Esquivel Salas,M
Mauricio Álvarez Mora,M
Ignacio González Piedra,M
Luis Felipe Arauz Cavallini,M
Diego Montero Hernández,M
Marco Rodríguez Ramírez,M
Jaime Morera Monge,M
Carlos Gallegos,M
Ovidio Muñoz Corrales,M
Ferdinand von Herold,M
Juan José  Romero Zúñiga,M
Lenin Corrales Chaves,M
Rafael Rodríguez Salazar,M
Roberto Protti,M
Óscar Jiménez Ramírez & Sergio Mora Castro,M
Rafael Rodríguez,M
Víctor Umaña,M
Juan Ramón Rojas,M
Ted Danson,M
Alejandro Vargas Johansson,M
Carlos Araya Leandro,M
Darner A. Mora,M
Óscar Morera Herrera,M
Sergio Castillo Quesada,M
Jesús Bedoya Ureña,M
Gustavo Adolfo Jiménez Monge,M
Joseph E. Stiglitz y Martín Guzmán,M
Msc. Rodrigo Alberto Campos Hidalgo,M
Oscar Fernández Venegas,M
Ricardo Trujillo Molina,M
Ricardo López Granados,M
Edgard A. Blanco,M
Alberto Cortés Ramos,M
Manuel Vargas Pérez,M
Rodrigo Alberto Campos Hidalgo,M
Dr. Walther González B. Ph.D.,M
"Albino Vargas Barrantes,",M
Jorge Méndez,M
Timothy Radcliffe,M
Luis Liberman,M
José Rafael González,M
Rafael Ángel Guillén Elizondo,M
Álvaro Salas Chaves,M
Esteban J. Chaves,M
Miguel Rojas Chaves,M
Joschka Fischer,M
Ottón Solís,M
Rodrigo Bolaños Zamora,M
Edgardo Piedra Garita,M
Jordan U. Dondi,M
Esteban Oviedo,M
Néstor Morera Víquez,M
Josh Landon,M
Brayam André Muñoz Fernández,M
Harold Villegas-Román,M
Fernando Francia,M
Édgar Mora Altamirano,M
Alexander Leicht,M
Otto Vargas Masís,M
Oscar Romero Sánchez,M
José Alfredo Calderón Gómez,M
Ing. Erick Sandoval Corrales,M
José Adrián Solano A.,M
Jorge Enriquez para La Nación,M